station_origin,station_destination,flows,population,jobs,distance
Abbey Road,Bank and Monument,0,599,78549,8131.410852275497
Abbey Road,Beckton,1,599,442,8510.04700569278
Abbey Road,Blackwall,3,599,665,3775.3598724420044
Abbey Road,Canary Wharf,1,599,58772,5086.404941034051
Abbey Road,Canning Town,37,599,15428,2228.874184647753
Abbey Road,Crossharbour,1,599,1208,6686.3350364502685
Abbey Road,Custom House,0,599,845,3824.7899361214795
Abbey Road,Cutty Sark,2,599,1748,8503.7365820279
Abbey Road,Cyprus,7,599,850,6532.0371851847385
Abbey Road,Devons Road,1,599,611,3958.2904322399654
Abbey Road,East India,2,599,1522,3384.0607032814914
Abbey Road,Island Gardens,2,599,691,7706.145392575337
Abbey Road,King George V,5,599,800,6805.940949294421
Abbey Road,Langdon Park,8,599,1989,4810.624641929763
Abbey Road,Lewisham,0,599,2400,11213.267832431964
Abbey Road,Limehouse,2,599,2969,6154.423282144181
Abbey Road,London City Airport,4,599,1941,5777.364535549983
Abbey Road,Pontoon Dock,8,599,1123,4636.026196750157
Abbey Road,Poplar,0,599,1301,4498.312601744813
Abbey Road,Prince Regent,1,599,754,4349.277514094159
Abbey Road,Royal Albert,4,599,684,5237.697526411523
Abbey Road,Shadwell,1,599,7447,6583.487279123604
Abbey Road,South Quay,7,599,4591,6089.597423697685
Abbey Road,Star Lane,7,599,1052,1397.471378904393
Abbey Road,Stratford,285,599,55954,1174.5026044792562
Abbey Road,Stratford High Street,10,599,788,655.2042983520204
Abbey Road,Stratford International,33,599,1546,2495.56841761356
Abbey Road,West Ham,130,599,5487,533.8352508216653
Abbey Road,West Silvertown,2,599,893,3879.9773814541395
Abbey Road,Westferry,3,599,1250,5180.817720492137
Abbey Road,Woolwich Arsenal,32,599,4428,9235.19160039636
Acton Central,Barking,0,1224,7004,28858.61509979417
Acton Central,Blackhorse Road,0,1224,2955,19049.788056170797
Acton Central,Brondesbury,76,1224,712,6439.2556257849665
Acton Central,Brondesbury Park,31,1224,895,5697.084875424576
Acton Central,Bushey,0,1224,456,20277.24256543652
Acton Central,Caledonian Road & Barnsbury,22,1224,1668,14032.096755981785
Acton Central,Camden Road,52,1224,3784,12267.54529420918
Acton Central,Canada Water,0,1224,20443,19290.079288749846
Acton Central,Canonbury,3,1224,846,15826.792429811918
Acton Central,Carpenders Park,0,1224,340,18314.334721487474
Acton Central,Crouch Hill,2,1224,404,13393.270619812607
Acton Central,Dalston Kingsland,5,1224,2091,17007.959844124947
Acton Central,Denmark Hill,0,1224,2612,19357.898358929822
Acton Central,Edmonton Green,0,1224,783,24977.18143888286
Acton Central,Euston,17,1224,16800,11674.399072072438
Acton Central,Finchley Road & Frognal,52,1224,1529,7919.115178070607
Acton Central,Gospel Oak,18,1224,2025,10278.171828194638
Acton Central,Gunnersbury,102,1224,4775,2169.3109900330733
Acton Central,Hackney Central,10,1224,2440,18297.69594443192
Acton Central,Hackney Wick,5,1224,1263,20676.617741921207
Acton Central,Haggerston,2,1224,1184,17998.652531001273
Acton Central,Hampstead Heath,59,1224,2792,9339.626725623166
Acton Central,Harlesden,0,1224,1668,4209.585374828695
Acton Central,Harringay Green Lanes,3,1224,544,14899.881307328656
Acton Central,Harrow & Wealdstone,3,1224,1335,12874.102327037985
Acton Central,Hatch End,0,1224,93,15871.07848328598
Acton Central,Headstone Lane,4,1224,310,14724.964156764909
Acton Central,Highams Park,0,1224,390,24555.682140645687
Acton Central,Highbury & Islington,49,1224,25385,14845.686196882694
Acton Central,Homerton,3,1224,1998,19333.285665172712
Acton Central,Hoxton,4,1224,2181,18833.234110125315
Acton Central,Kensal Green,0,1224,472,4417.595180249166
Acton Central,Kensal Rise,39,1224,1376,4694.575496269427
Acton Central,Kentish Town West,54,1224,1128,11369.31431388382
Acton Central,Kenton,2,1224,768,11093.44815617935
Acton Central,Kew Gardens,18,1224,792,3949.5334683847
Acton Central,Kilburn High Road,0,1224,266,6866.675152555782
Acton Central,Leyton Midland Road,0,1224,445,22254.42427397367
Acton Central,Leytonstone High Road,0,1224,314,23468.52291856698
Acton Central,New Cross,1,1224,1027,22156.534671722962
Acton Central,New Cross Gate,0,1224,1340,21921.304463379613
Acton Central,North Wembley,0,1224,365,8770.72078084292
Acton Central,Queen's Park,0,1224,2167,5802.194077978774
Acton Central,Richmond,318,1224,5397,6117.65370412318
Acton Central,Shadwell,0,1224,7447,18657.782147625992
Acton Central,Shoreditch High Street,4,1224,7558,19122.95000390782
Acton Central,South Acton,7,1224,975,1152.49677857637
Acton Central,South Hampstead,3,1224,236,7843.008678583779
Acton Central,South Kenton,0,1224,261,9706.45566615346
Acton Central,South Tottenham,0,1224,552,16758.674890670314
Acton Central,Stonebridge Park,0,1224,729,5704.524590061152
Acton Central,Stratford,11,1224,55954,22249.536628286005
Acton Central,Surrey Quays,0,1224,1005,19839.58593290985
Acton Central,Upper Holloway,4,1224,898,12178.368894660667
Acton Central,Watford High Street,3,1224,790,21591.454374780566
Acton Central,Watford Junction,5,1224,1367,22997.4533299751
Acton Central,Wembley Central,1,1224,1327,7422.615806560485
Acton Central,West Hampstead,141,1224,5856,7288.470995329585
Acton Central,White Hart Lane,0,1224,641,22578.817207074113
Acton Central,Whitechapel,1,1224,17633,17927.152599095847
Acton Central,Willesden Junction,90,1224,4165,3065.3713746589697
Acton Central,Woodgrange Park,0,1224,242,26708.602449246093
Acton Town,Aldgate,3,3745,7782,16943.751441665132
Acton Town,Aldgate East,17,3745,7932,17185.795767096308
Acton Town,Alperton,35,3745,741,4973.037607847056
Acton Town,Amersham,0,3745,256,37455.11805528229
Acton Town,Angel,11,3745,8103,15763.676068750696
Acton Town,Archway,1,3745,2193,18217.275665816745
Acton Town,Arnos Grove,1,3745,748,25901.0276856494
Acton Town,Arsenal,0,3745,315,17900.029067324707
Acton Town,Baker Street,19,3745,14973,12097.17182029655
Acton Town,Balham,0,3745,3814,18527.56307370845
Acton Town,Bank and Monument,66,3745,78549,15506.858259861723
Acton Town,Barbican,9,3745,9134,16902.25425374505
Acton Town,Barking,1,3745,7004,29080.578332269
Acton Town,Barkingside,0,3745,262,34635.83961150862
Acton Town,Barons Court,84,3745,2956,5270.453280076329
Acton Town,Bayswater,3,3745,615,9786.720321403624
Acton Town,Becontree,0,3745,456,32375.01417313495
Acton Town,Belsize Park,0,3745,2255,17213.092127369262
Acton Town,Bermondsey,6,3745,3172,16806.49278529242
Acton Town,Bethnal Green,2,3745,4660,18756.60225691124
Acton Town,Blackfriars,39,3745,10849,14337.581854829721
Acton Town,Blackhorse Road,0,3745,2955,24646.442587411366
Acton Town,Bond Street,27,3745,20967,12250.135620046609
Acton Town,Borough,1,3745,3254,15233.285035831275
Acton Town,Boston Manor,62,3745,892,3511.667928270841
Acton Town,Bounds Green,1,3745,778,24546.780258886793
Acton Town,Bow Road,1,3745,1193,20883.42424213374
Acton Town,Brixton,16,3745,5084,16094.311565272707
Acton Town,Bromley-by-Bow,2,3745,1613,21892.18925029079
Acton Town,Burnt Oak,0,3745,649,26884.368330910016
Acton Town,Caledonian Road,2,3745,1803,16618.024330200176
Acton Town,Camden Town,3,3745,6348,15181.235852162949
Acton Town,Canada Water,11,3745,20443,17795.994422661315
Acton Town,Canary Wharf,57,3745,58772,20397.814872497216
Acton Town,Canning Town,3,3745,15428,22941.948909563234
Acton Town,Cannon Street,18,3745,4698,15246.010565466466
Acton Town,Canons Park,0,3745,526,24459.194119267395
Acton Town,Chalfont & Latimer,0,3745,554,34069.45175794234
Acton Town,Chalk Farm,0,3745,1329,16175.001729036394
Acton Town,Chancery Lane,20,3745,15391,13817.45588862803
Acton Town,Charing Cross,5,3745,7016,12450.651956016094
Acton Town,Chiswick Park,20,3745,1517,1274.9313280085994
Acton Town,Chorleywood,1,3745,702,30556.59747230211
Acton Town,Clapham Common,3,3745,2020,16102.643937027588
Acton Town,Clapham North,1,3745,1238,15459.889869417906
Acton Town,Clapham South,2,3745,1513,17354.950900870954
Acton Town,Cockfosters,0,3745,262,31089.7603671966
Acton Town,Colindale,0,3745,2081,25577.96857487691
Acton Town,Colliers Wood,0,3745,865,21857.99676169971
Acton Town,Covent Garden,44,3745,4355,12619.056613801466
Acton Town,Croxley,0,3745,340,26518.132027894248
Acton Town,Dagenham East,0,3745,649,35082.396170292915
Acton Town,Dagenham Heathway,0,3745,1108,33803.19078430835
Acton Town,Dollis Hill,0,3745,847,16674.327261024762
Acton Town,Ealing Broadway,107,3745,4846,2591.886598039495
Acton Town,Ealing Common,13,3745,915,1026.61233456759
Acton Town,Earl's Court,129,3745,6613,6775.225899116171
Acton Town,East Acton,2,3745,1505,7200.7241980535855
Acton Town,East Finchley,0,3745,1253,21556.475440241353
Acton Town,East Ham,1,3745,2062,26655.663815093398
Acton Town,East Putney,13,3745,1877,11040.66104963663
Acton Town,Eastcote,2,3745,364,13360.667083198063
Acton Town,Edgware,1,3745,772,28402.482810164453
Acton Town,Edgware Road,12,3745,6868,11062.352962905628
Acton Town,Elephant & Castle,20,3745,6427,14533.342629224904
Acton Town,Embankment,16,3745,10220,12790.977786839354
Acton Town,Euston,14,3745,16800,13807.6597511804
Acton Town,Euston Square,3,3745,8093,13543.92280519564
Acton Town,Farringdon,19,3745,25592,16441.35178415716
Acton Town,Finchley Central,1,3745,1921,23927.01440277804
Acton Town,Finchley Road,0,3745,3417,13983.304035734998
Acton Town,Finsbury Park,7,3745,6769,18672.77958505731
Acton Town,Fulham Broadway,41,3745,4200,8285.356004444355
Acton Town,Gants Hill,0,3745,601,31147.55102150757
Acton Town,Gloucester Road,62,3745,5194,7685.3279295474285
Acton Town,Golders Green,1,3745,1871,20776.76454636336
Acton Town,Goldhawk Road,0,3745,370,5382.205499980404
Acton Town,Goodge Street,14,3745,6457,13483.926564157568
Acton Town,Great Portland Street,10,3745,6936,12923.975936032164
Acton Town,Green Park,79,3745,26754,11101.243970156596
Acton Town,Greenford,2,3745,1157,12300.789317862269
Acton Town,Gunnersbury,0,3745,4775,3769.798869048469
Acton Town,Hammersmith,391,3745,18250,4376.635380989479
Acton Town,Hampstead,0,3745,2010,18391.079078184935
Acton Town,Harrow-on-the-Hill,6,3745,3019,14147.276187684125
Acton Town,Hatton Cross,62,3745,1219,12068.078246872077
Acton Town,Heathrow Terminal 4,10,3745,693,13944.410912941621
Acton Town,Heathrow Terminal 5,18,3745,975,16935.989448036096
Acton Town,Heathrow Terminals 2 & 3,44,3745,2406,14480.757392871023
Acton Town,Hendon Central,0,3745,1878,23425.47328533587
Acton Town,High Street Kensington,16,3745,5427,8076.060017194365
Acton Town,Highbury & Islington,4,3745,25385,17165.18482146277
Acton Town,Highgate,1,3745,856,19807.47337167985
Acton Town,Hillingdon,0,3745,318,18075.854550036576
Acton Town,Holborn,117,3745,22346,13251.980961831941
Acton Town,Holland Park,0,3745,2063,9736.407590146047
Acton Town,Holloway Road,7,3745,1696,17233.317524267226
Acton Town,Hounslow Central,42,3745,708,7785.578437254404
Acton Town,Hounslow East,55,3745,843,7039.90191346582
Acton Town,Hounslow West,20,3745,401,9264.645936688896
Acton Town,Hyde Park Corner,34,3745,2410,10321.373842798264
Acton Town,Ickenham,0,3745,282,16951.423965126978
Acton Town,Kennington,2,3745,1161,14724.128852612694
Acton Town,Kentish Town,1,3745,3404,16459.167067804203
Acton Town,Kew Gardens,4,3745,792,5550.021347400096
Acton Town,Kilburn,0,3745,1953,14243.189412517773
Acton Town,King's Cross St. Pancras,64,3745,33330,14583.376807226223
Acton Town,Kingsbury,0,3745,1018,21519.93642417377
Acton Town,Knightsbridge,64,3745,6821,9737.432509894832
Acton Town,Ladbroke Grove,9,3745,2131,7561.142797458462
Acton Town,Lambeth North,6,3745,1319,13537.636510257738
Acton Town,Lancaster Gate,1,3745,1820,10533.131898407277
Acton Town,Latimer Road,6,3745,1109,6901.578750240041
Acton Town,Leicester Square,52,3745,8847,12253.534421924132
Acton Town,Leyton,0,3745,1447,25178.032714100817
Acton Town,Leytonstone,0,3745,1844,26841.898735535782
Acton Town,Liverpool Street,55,3745,61122,16348.349141762477
Acton Town,London Bridge,39,3745,29930,14718.704184185472
Acton Town,Manor House,1,3745,1311,19788.905060704743
Acton Town,Mansion House,41,3745,7815,14997.835377989473
Acton Town,Marble Arch,1,3745,6145,11751.710796097903
Acton Town,Marylebone,1,3745,4250,11665.223914982222
Acton Town,Mile End,3,3745,3759,20258.50585334863
Acton Town,Mill Hill East,2,3745,681,25449.194897551137
Acton Town,Moorgate,14,3745,24574,16283.675021538182
Acton Town,Morden,0,3745,1447,24469.66545161469
Acton Town,Mornington Crescent,5,3745,2927,14591.035605281912
Acton Town,Newbury Park,0,3745,559,33505.30442580528
Acton Town,North Acton,3,3745,3168,6020.218188138923
Acton Town,North Ealing,20,3745,332,1951.0038549564338
Acton Town,North Greenwich,13,3745,6276,22227.590222376344
Acton Town,Northfields,30,3745,864,2580.837525716407
Acton Town,Northolt,1,3745,663,14119.193061417925
Acton Town,Northwick Park,3,3745,1713,15450.392418233643
Acton Town,Northwood,2,3745,1018,21389.82525966296
Acton Town,Northwood Hills,1,3745,488,19803.18521906829
Acton Town,Notting Hill Gate,7,3745,5490,9036.688453407009
Acton Town,Oakwood,0,3745,423,29745.806382324146
Acton Town,Old Street,28,3745,15897,17137.181744932368
Acton Town,Osterley,22,3745,521,6072.425631544171
Acton Town,Oval,1,3745,2544,15639.274173016362
Acton Town,Oxford Circus,38,3745,44368,12111.787369704825
Acton Town,Paddington,31,3745,20198,10273.739117744324
Acton Town,Park Royal,39,3745,1552,3050.6374684769835
Acton Town,Parsons Green,29,3745,2711,8987.687001773558
Acton Town,Perivale,1,3745,532,10704.380918491132
Acton Town,Piccadilly Circus,85,3745,13641,11878.851304938727
Acton Town,Pimlico,10,3745,5585,12175.44187914256
Acton Town,Pinner,0,3745,292,17644.579508488667
Acton Town,Plaistow,2,3745,1049,24034.287147521765
Acton Town,Preston Road,0,3745,411,17183.50859458466
Acton Town,Putney Bridge,21,3745,2494,9982.12583842042
Acton Town,Queensbury,0,3745,439,22765.92207156865
Acton Town,Ravenscourt Park,43,3745,1895,3542.069921073036
Acton Town,Rayners Lane,4,3745,426,11541.350059693486
Acton Town,Redbridge,0,3745,198,29689.80962549064
Acton Town,Regent's Park,10,3745,3364,12892.695896274616
Acton Town,Richmond,33,3745,5397,7718.141583138576
Acton Town,Rickmansworth,0,3745,937,27005.232697832238
Acton Town,Royal Oak,9,3745,856,9336.456657236366
Acton Town,Ruislip,1,3745,257,15165.76609822983
Acton Town,Ruislip Manor,0,3745,408,14486.884805078393
Acton Town,Russell Square,44,3745,5172,13958.402387589362
Acton Town,Seven Sisters,6,3745,10191,22078.731860086828
Acton Town,Shepherd's Bush,0,3745,9890,9320.611801622115
Acton Town,Shepherd's Bush Market,1,3745,416,5821.485321738821
Acton Town,Sloane Square,34,3745,8229,9609.85518814722
Acton Town,South Ealing,21,3745,670,2127.901160341795
Acton Town,South Harrow,12,3745,387,9735.821308644521
Acton Town,South Kensington,131,3745,15325,8436.649562604436
Acton Town,South Ruislip,0,3745,289,16443.128968424
Acton Town,South Woodford,0,3745,766,29815.956162438317
Acton Town,Southfields,15,3745,1351,12671.508428274734
Acton Town,Southgate,1,3745,874,27880.176594507615
Acton Town,Southwark,32,3745,10326,13620.37332107734
Acton Town,St. James's Park,64,3745,13339,11552.87728677856
Acton Town,St. John's Wood,2,3745,3982,14236.06963306844
Acton Town,St. Paul's,27,3745,13446,14912.593460370388
Acton Town,Stamford Brook,13,3745,784,2832.791481132934
Acton Town,Stepney Green,2,3745,1879,19229.258879341272
Acton Town,Stockwell,2,3745,1623,14507.594088194117
Acton Town,Stratford,10,3745,55954,23046.693316232922
Acton Town,Sudbury Hill,15,3745,277,8250.374080160973
Acton Town,Sudbury Town,13,3745,218,6633.379006662948
Acton Town,Swiss Cottage,3,3745,2598,14628.64889473341
Acton Town,Temple,15,3745,6780,13585.552933743982
Acton Town,Tooting Bec,1,3745,1239,19502.69570019756
Acton Town,Tooting Broadway,3,3745,4506,20577.619027018925
Acton Town,Tottenham Court Road,10,3745,19126,12839.463962308144
Acton Town,Tottenham Hale,4,3745,3239,23232.288589836622
Acton Town,Totteridge & Whetstone,1,3745,287,27587.40558741851
Acton Town,Tower Hill,28,3745,8286,16346.572954103785
Acton Town,Tufnell Park,1,3745,557,17223.750845180104
Acton Town,Turnham Green,20,3745,1515,2222.5124964965057
Acton Town,Turnpike Lane,3,3745,992,22110.541794507903
Acton Town,Upminster,0,3745,1132,41460.231274103906
Acton Town,Upney,0,3745,485,30447.87012319071
Acton Town,Upton Park,0,3745,1642,25355.397528924892
Acton Town,Uxbridge,41,3745,4316,20220.257480454187
Acton Town,Vauxhall,21,3745,16242,13000.75616890633
Acton Town,Victoria,53,3745,33251,10775.589912110012
Acton Town,Walthamstow Central,1,3745,5271,26205.431097312256
Acton Town,Warren Street,25,3745,17309,13261.473332403184
Acton Town,Waterloo,32,3745,23466,12963.958153640882
Acton Town,Watford,1,3745,961,28572.92980080787
Acton Town,Wembley Park,1,3745,5759,18603.22026770428
Acton Town,West Acton,3,3745,488,4208.7626364604375
Acton Town,West Brompton,17,3745,5859,7342.605122588475
Acton Town,West Ham,0,3745,5487,23104.433861315556
Acton Town,West Hampstead,1,3745,5856,13227.580854411128
Acton Town,West Harrow,0,3745,122,12905.429848564185
Acton Town,West Kensington,14,3745,1345,5834.120011003428
Acton Town,Westbourne Park,9,3745,1347,8367.064645034317
Acton Town,Westminster,33,3745,15466,12113.615593137165
Acton Town,White City,3,3745,5966,9157.87067417678
Acton Town,Whitechapel,10,3745,17633,18149.115831570674
Acton Town,Willesden Green,0,3745,830,15428.235503155463
Acton Town,Wimbledon,77,3745,6295,15686.997372188447
Acton Town,Wimbledon Park,3,3745,596,14031.124352700208
Acton Town,Wood Green,6,3745,2146,23041.354948631757
Acton Town,Wood Lane,9,3745,1578,6347.733829208772
Acton Town,Woodford,0,3745,706,31527.8999741594
Acton Town,Woodside Park,0,3745,745,26110.297254831385
Aldgate,Acton Town,0,2886,2202,16943.751441665132
Aldgate,Aldgate East,0,2886,7932,1436.401300553867
Aldgate,Amersham,0,2886,256,45233.136643780505
Aldgate,Angel,17,2886,8103,3530.282320752799
Aldgate,Archway,2,2886,2193,9455.271840436815
Aldgate,Arnos Grove,0,2886,748,15499.953247181866
Aldgate,Arsenal,2,2886,315,7498.954628857179
Aldgate,Baker Street,167,2886,14973,6668.507355688369
Aldgate,Balham,0,2886,3814,10717.989560584061
Aldgate,Bank and Monument,5,2886,78549,1436.8931818034093
Aldgate,Barbican,221,2886,9134,1863.4249222398685
Aldgate,Barking,0,2886,7004,13331.183865726558
Aldgate,Barkingside,0,2886,262,18903.211087626114
Aldgate,Barons Court,0,2886,2956,11673.298161588802
Aldgate,Bayswater,1,2886,615,10321.158532192401
Aldgate,Belsize Park,1,2886,2255,8451.088301989334
Aldgate,Bermondsey,0,2886,3172,4411.3932171280285
Aldgate,Bethnal Green,0,2886,4660,3130.32186930147
Aldgate,Blackfriars,11,2886,10849,2674.629575448477
Aldgate,Blackhorse Road,2,2886,2955,12663.066112480145
Aldgate,Bond Street,13,2886,20967,6172.6804387642605
Aldgate,Borough,1,2886,3254,2838.1854676668827
Aldgate,Boston Manor,0,2886,892,20455.419369935975
Aldgate,Bounds Green,2,2886,778,14145.70582041926
Aldgate,Bow Road,0,2886,1193,5134.029775591298
Aldgate,Brent Cross,0,2886,450,13529.849175983085
Aldgate,Brixton,2,2886,5084,8284.738052148317
Aldgate,Buckhurst Hill,0,2886,228,18128.846062055152
Aldgate,Burnt Oak,0,2886,649,18122.364505530084
Aldgate,Caledonian Road,10,2886,1803,6216.949891732649
Aldgate,Camden Town,8,2886,6348,6419.23202678302
Aldgate,Canada Water,0,2886,20443,5238.627007357033
Aldgate,Canary Wharf,1,2886,58772,6564.32582582359
Aldgate,Canning Town,0,2886,15428,8612.08685208375
Aldgate,Cannon Street,4,2886,4698,1766.200864811732
Aldgate,Canons Park,2,2886,526,23325.324547725297
Aldgate,Chalfont & Latimer,1,2886,554,41847.470346440554
Aldgate,Chalk Farm,1,2886,1329,7412.9979036564655
Aldgate,Chancery Lane,5,2886,15391,3381.5426795185153
Aldgate,Charing Cross,0,2886,7016,4561.559474262103
Aldgate,Chesham,0,2886,243,48163.355334949534
Aldgate,Chigwell,0,2886,148,19376.320696059127
Aldgate,Chorleywood,0,2886,702,38334.61606080033
Aldgate,Clapham Common,0,2886,2020,8293.070423903198
Aldgate,Clapham North,0,2886,1238,7650.316356293517
Aldgate,Clapham South,1,2886,1513,9545.377387746565
Aldgate,Cockfosters,1,2886,262,20688.685928729068
Aldgate,Colindale,4,2886,2081,16815.96474949698
Aldgate,Colliers Wood,0,2886,865,14048.42324857532
Aldgate,Covent Garden,2,2886,4355,4579.941954345079
Aldgate,Croxley,0,2886,340,34296.150616392464
Aldgate,Debden,0,2886,865,22016.398447513424
Aldgate,Dollis Hill,4,2886,847,14405.562024769963
Aldgate,Ealing Broadway,0,2886,4846,19048.966884459453
Aldgate,Ealing Common,0,2886,915,17970.363776232723
Aldgate,Earl's Court,2,2886,6613,10168.52554254896
Aldgate,East Acton,4,2886,1505,14440.12928444536
Aldgate,East Finchley,0,2886,1253,12794.471614861424
Aldgate,East Ham,0,2886,2062,10906.269348550955
Aldgate,East Putney,0,2886,1877,14433.960693069419
Aldgate,Eastcote,2,2886,364,26350.537927677557
Aldgate,Edgware,0,2886,772,19640.47898478452
Aldgate,Edgware Road,25,2886,6868,7703.326213079291
Aldgate,Elephant & Castle,1,2886,6427,3659.3049594364797
Aldgate,Embankment,14,2886,10220,4221.2336434388435
Aldgate,Epping,0,2886,498,27963.7857396979
Aldgate,Euston,4,2886,16800,5045.655925800471
Aldgate,Euston Square,353,2886,8093,5221.756370789279
Aldgate,Fairlop,0,2886,182,20071.917143785366
Aldgate,Farringdon,677,2886,25592,2324.3273918277578
Aldgate,Finchley Central,1,2886,1921,15165.010577398112
Aldgate,Finchley Road,30,2886,3417,10203.09243683246
Aldgate,Finsbury Park,8,2886,6769,8271.70514658978
Aldgate,Fulham Broadway,0,2886,4200,11678.655647877144
Aldgate,Gants Hill,0,2886,601,15414.922497625064
Aldgate,Gloucester Road,0,2886,5194,9258.4235121177
Aldgate,Golders Green,1,2886,1871,12014.760720983431
Aldgate,Goldhawk Road,0,2886,370,13383.473676004514
Aldgate,Goodge Street,0,2886,6457,5388.526725185229
Aldgate,Great Portland Street,228,2886,6936,5841.703239952754
Aldgate,Green Park,3,2886,26754,5910.967460121601
Aldgate,Greenford,0,2886,1157,21901.206424083368
Aldgate,Gunnersbury,0,2886,4775,16268.525317720589
Aldgate,Hainault,1,2886,356,20950.581564314936
Aldgate,Hammersmith,2,2886,18250,12567.116060675651
Aldgate,Hampstead,2,2886,2010,9629.075252805007
Aldgate,Hanger Lane,0,2886,1493,18074.910776295583
Aldgate,Harlesden,1,2886,1668,14798.897623383664
Aldgate,Harrow & Wealdstone,0,2886,1335,23463.41457559295
Aldgate,Harrow-on-the-Hill,22,2886,3019,21925.29477618234
Aldgate,Hatton Cross,0,2886,1219,29011.829688537215
Aldgate,Heathrow Terminal 4,0,2886,693,30888.162354606757
Aldgate,Heathrow Terminal 5,1,2886,975,33879.740889701236
Aldgate,Heathrow Terminals 2 & 3,3,2886,2406,31424.508834536162
Aldgate,Hendon Central,2,2886,1878,14663.469459955939
Aldgate,High Barnet,0,2886,953,21418.013668837175
Aldgate,High Street Kensington,18,2886,5427,10263.529266649235
Aldgate,Highbury & Islington,1,2886,25385,6764.110382995245
Aldgate,Highgate,1,2886,856,11045.46954629992
Aldgate,Hillingdon,1,2886,318,31065.72539451607
Aldgate,Holborn,19,2886,22346,3947.0176063146037
Aldgate,Holland Park,3,2886,2063,10270.845800934825
Aldgate,Holloway Road,8,2886,1696,6832.243085799698
Aldgate,Hounslow Central,0,2886,708,24729.32987891954
Aldgate,Hounslow East,0,2886,843,23983.653355130955
Aldgate,Hounslow West,0,2886,401,26208.39737835403
Aldgate,Hyde Park Corner,1,2886,2410,6690.837587479933
Aldgate,Ickenham,0,2886,282,29941.294809606472
Aldgate,Kennington,0,2886,1161,4498.857234152291
Aldgate,Kensal Green,0,2886,472,12302.459817623741
Aldgate,Kentish Town,1,2886,3404,7697.163242424273
Aldgate,Kew Gardens,0,2886,792,18048.747796072217
Aldgate,Kilburn,1,2886,1953,11974.424176262975
Aldgate,Kilburn Park,1,2886,823,11063.923364878847
Aldgate,King's Cross St. Pancras,351,2886,33330,4182.302368758696
Aldgate,Kingsbury,2,2886,1018,20386.066852631673
Aldgate,Knightsbridge,1,2886,6821,7274.778920383365
Aldgate,Ladbroke Grove,9,2886,2131,11204.536378526456
Aldgate,Lambeth North,0,2886,1319,4553.471644641107
Aldgate,Lancaster Gate,0,2886,1820,8074.683219195517
Aldgate,Latimer Road,4,2886,1109,11864.100425744877
Aldgate,Leicester Square,1,2886,8847,4945.464146222411
Aldgate,Leyton,0,2886,1447,9445.404190218309
Aldgate,Leytonstone,0,2886,1844,11109.270211653275
Aldgate,Liverpool Street,67,2886,61122,722.0687541527099
Aldgate,London Bridge,2,2886,29930,2323.60461602108
Aldgate,Loughton,0,2886,655,19964.301649639485
Aldgate,Maida Vale,2,2886,949,10212.151387075495
Aldgate,Manor House,6,2886,1311,9387.830622237214
Aldgate,Mansion House,5,2886,7815,2014.376052288725
Aldgate,Marble Arch,5,2886,6145,6856.104321504891
Aldgate,Marylebone,3,2886,4250,7206.79668701995
Aldgate,Mile End,0,2886,3759,4509.111386806187
Aldgate,Mill Hill East,0,2886,681,16687.19107217121
Aldgate,Moor Park,0,2886,550,31386.059966565408
Aldgate,Moorgate,112,2886,24574,1156.1487731264256
Aldgate,Morden,0,2886,1447,16660.091938490295
Aldgate,Mornington Crescent,0,2886,2927,5829.031779901983
Aldgate,Neasden,1,2886,732,15191.130211563404
Aldgate,Newbury Park,0,2886,559,17772.675901922776
Aldgate,North Acton,1,2886,3168,15620.635294360023
Aldgate,North Greenwich,0,2886,6276,8394.101175702717
Aldgate,North Harrow,2,2886,190,23904.88377559502
Aldgate,North Wembley,0,2886,365,19360.033029397888
Aldgate,Northfields,0,2886,864,19524.58896738154
Aldgate,Northolt,0,2886,663,23719.610167639024
Aldgate,Northwick Park,20,2886,1713,20622.17854563282
Aldgate,Northwood,2,2886,1018,29167.843848161177
Aldgate,Northwood Hills,1,2886,488,27581.203807566508
Aldgate,Notting Hill Gate,7,2886,5490,9571.126664195786
Aldgate,Oakwood,0,2886,423,19344.731943856616
Aldgate,Old Street,8,2886,15897,2009.6554965206124
Aldgate,Osterley,0,2886,521,23016.177073209306
Aldgate,Oval,1,2886,2544,5414.00255455596
Aldgate,Oxford Circus,15,2886,44368,5618.350154608985
Aldgate,Paddington,73,2886,20198,8491.940058240594
Aldgate,Parsons Green,0,2886,2711,12380.986645206347
Aldgate,Perivale,0,2886,532,20304.798024712232
Aldgate,Piccadilly Circus,4,2886,13641,5133.360125339469
Aldgate,Pimlico,0,2886,5585,7568.013496587666
Aldgate,Pinner,1,2886,292,25422.598096986883
Aldgate,Plaistow,0,2886,1049,8284.892680979323
Aldgate,Preston Road,5,2886,411,18889.062369281804
Aldgate,Putney Bridge,0,2886,2494,13375.425481853208
Aldgate,Queen's Park,4,2886,2167,10917.860919894134
Aldgate,Queensbury,0,2886,439,21632.05250002655
Aldgate,Queensway,0,2886,1882,8932.816086482273
Aldgate,Rayners Lane,1,2886,426,24531.22090417298
Aldgate,Redbridge,0,2886,198,13957.181101608137
Aldgate,Richmond,0,2886,5397,20216.868031810696
Aldgate,Rickmansworth,3,2886,937,34783.25128633045
Aldgate,Royal Oak,3,2886,856,9429.222518748553
